,Pl.,Unnamed: 1,Unnamed: 2,Verein,Sp.,ss-u-n,U,N,Tore,Diff.,Punkte
0,1,,,Fürth  SpVgg Greuther Fürth,9,5-3-1  5,3,1,19:10,9,18
1,2,,,Bochum  VfL Bochum,9,5-2-2  5,2,2,17:9,8,17
2,3,,,HSV  Hamburger SV,9,5-2-2  5,2,2,19:14,5,17
3,4,,,Kiel  Holstein Kiel,9,4-4-1  4,4,1,13:8,5,16
4,5,,,Osnabrück  VfL Osnabrück,9,4-4-1  4,4,1,13:11,2,16
5,6,,,Aue  Erzgebirge Aue,9,4-3-2  4,3,2,14:9,5,15
6,7,,,Paderborn (A)  SC Paderborn 07 (A),9,4-2-3  4,2,3,14:8,6,14
7,8,,,Karlsruhe  Karlsruher SC,9,4-1-4  4,1,4,14:10,4,13
8,9,,,Heidenheim  1. FC Heidenheim,9,3-3-3  3,3,3,15:13,2,12
9,10,,,Regensburg  Jahn Regensburg,9,3-3-3  3,3,3,13:14,-1,12
10,11,,,Darmstadt  SV Darmstadt 98,9,3-3-3  3,3,3,16:18,-2,12
11,12,,,Düsseldorf (A)  Fortuna Düsseldorf (A),9,3-2-4  3,2,4,8:15,-7,11
12,13,,,Nürnberg  1. FC Nürnberg,9,2-4-3  2,4,3,16:15,1,10
13,14,,,Hannover  Hannover 96,9,3-1-5  3,1,5,12:13,-1,10
14,15,,,Sandhausen  SV Sandhausen,9,2-2-5  2,2,5,9:16,-7,8
15,16,,,Braunschweig (N)  Eintracht Braunschweig (N),9,2-2-5  2,2,5,9:21,-12,8
16,17,,,St. Pauli  FC St. Pauli,9,1-4-4  1,4,4,12:17,-5,7
17,18,,,Würzburg (N)  Würzburger Kickers (N),9,1-1-7  1,1,7,9:21,-12,4
